제목,언론사,날짜,링크
"한달 걸린 자동차 부품 가상 검증, KT 플랫폼으로 4시간 만에 해결",뉴시스,20240404,https://www.newsis.com/view/?id=NISX20240403_0002687068&cID=13007&pID=13100
KT 신인 문정현 결승 3점포,조선일보,20240405,https://www.chosun.com/sports/basketball/2024/04/05/4FVUU2TOYZEZFC46YE3VSJWPKU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"구본혁, 끝내기 만루홈런 폭발…LG, kt에 설욕",연합뉴스,20240406,https://www.yna.co.kr/view/AKR20240406047200007?input=1195m
"'알루마 22점' 프로농구 현대모비스, KT 잡고 6강 PO 1승1패",뉴시스,20240407,https://www.newsis.com/view/?id=NISX20240407_0002691076&cID=10505&pID=10500
"갈 길 바쁜 kt, 외야수 배정대·김민혁 부상으로 1군 말소",연합뉴스,20240408,https://www.yna.co.kr/view/AKR20240408135900007?input=1195m
"KT ""청년·소상공인, 인터넷·TV 1년만 써도 3년 약정급 할인""",뉴시스,20240409,https://www.newsis.com/view/?id=NISX20240409_0002693016&cID=13004&pID=13100
"KT ""1년만 써도 3년약정 가격 내세요""",디지털타임스,20240410,https://www.dt.co.kr/contents.html?article_no=2024041002109931078005&ref=naver
"KT, 현대모비스 꺾고 4강 진출",연합뉴스,20240411,https://www.yna.co.kr/view/PYH20240411250600057?input=1196m
"[사진]KT, 2연패 탈출-탈꼴찌 성공",OSEN,20240412,http://www.osen.co.kr/article/G1112315506
"부상병동 kt, 핵심 불펜 이상동도 이탈…인대 파열로 8주 진단",연합뉴스,20240413,https://www.yna.co.kr/view/AKR20240413030900007?input=1195m
KT '티빙+스타벅스' OTT 구독팩 출시…2000원 할인 효과,뉴시스,20240414,https://www.newsis.com/view/?id=NISX20240414_0002698508&cID=13004&pID=13100
제4이통 토론회서 'KT 28㎓ 장비' 거론된 이유(종합),아이뉴스24,20240415,http://www.inews24.com/view/1708394
"KT, AICT로 달라지는 일상 속의 변화 선봬",이코노미스트,20240416,https://economist.co.kr/article/view/ecn202404160018
심판 다리 직격한 타구…불운에 승리 날아간 kt 신인 육청명,연합뉴스,20240417,https://www.yna.co.kr/view/AKR20240417164100007?input=1195m
KT 문성곤 '승리 다짐',연합뉴스,20240418,https://www.yna.co.kr/view/PYH20240418195300052?input=1196m
"KT, 장애인의 날 맞아 시각장애 아동들과 '봄나들이 봉사' 나서",뉴시스,20240419,https://www.newsis.com/view/?id=NISX20240419_0002705459&cID=13005&pID=13100
"프로야구 부산 롯데-KT전, 우천 취소…21일 더블헤더 진행",뉴스1,20240420,https://www.news1.kr/articles/5391201
"KT, AI 활용한 전력 절감 기술 공개",지디넷코리아,20240421,https://zdnet.co.kr/view/?no=20240421073804
KT 승리,연합뉴스,20240422,https://www.yna.co.kr/view/PYH20240422193100061?input=1196m
"KT 로봇사업, 원격관제 플랫폼 집중",전자신문,20240423,https://www.etnews.com/20240423000303
KT 배스 간다,연합뉴스,20240424,https://www.yna.co.kr/view/PYH20240424189500052?input=1196m
"KT-신한은행, 하이오더 설치 소상공인에 최대 150만원 지원",연합뉴스,20240425,https://www.yna.co.kr/view/AKR20240425054600017?input=1195m
"KT, 청년 디자인 아티스트 모집",데일리한국,20240426,https://daily.hankooki.com/news/articleView.html?idxno=1078280
"쿠에바스, 7경기 만에 첫 승…KT, 김광현 앞세운 SSG 눌러",뉴시스,20240427,https://www.newsis.com/view/?id=NISX20240427_0002715709&cID=10502&pID=10500
"KT, 외국인 전용 '5G 웰컴 요금제' 3종 출시",연합뉴스,20240428,https://www.yna.co.kr/view/AKR20240428020100017?input=1195m
"KT, AI로 '제2의 우영우' 발굴한다…2025년 매출 5조원 '목표'",더팩트,20240429,http://news.tf.co.kr/read/economy/2094675.htm
"KT, 창사 첫 분기배당 시행…1주당 500원",뉴시스,20240430,https://www.newsis.com/view/?id=NISX20240430_0002719186&cID=13005&pID=13100
"'허웅 26점' 프로농구 KCC, KT 꺾고 챔프전 2승 1패",SBS,20240501,https://news.sbs.co.kr/news/endPage.do?news_id=N1007632347&plink=ORI&cooper=NAVER
"KT, 유튜브 프리미엄＋스타벅스 구독팩 출시",연합뉴스,20240502,https://www.yna.co.kr/view/AKR20240502039200017?input=1195m
[단독] 검찰 '일감 몰아주기 의혹' 정점 구현모 소환... KT수사 마무리 ...,한국일보,20240503,https://www.hankookilbo.com/News/Read/A2024050216290003130?did=NA
"강백호 11호 홈런＋육청명 데뷔 첫승…kt, 키움 잡고 3연승",연합뉴스,20240504,https://www.yna.co.kr/view/AKR20240504044700007?input=1195m
"[게시판] KT, 임직원 가족과 '마음을 담은 클래식 콘서트' 관람",연합뉴스,20240505,https://www.yna.co.kr/view/AKR20240505009900017?input=1195m
"KCC, KT 잡으며 챔피언 등극 [포토]",스포츠동아,20240506,https://sports.donga.com/article/all/20240506/124800591/2
"kt cloud, 한국정보통신진흥협회와 AI·클라우드 제휴",이데일리,20240507,http://www.edaily.co.kr/news/newspath.asp?newsid=02604326638886624
[단독] “유망하다더니 1년반만에”…KT 메타라운지 문닫았다,매일경제,20240508,https://www.mk.co.kr/article/11010888
"KT, 1800억원 규모 자사주 소각 결정… “주주가치 제고”",조선비즈,20240509,https://biz.chosun.com/it-science/ict/2024/05/09/2LRFHAXFC5BYZIUDKXHO3O6EFA/?utm_source=naver&utm_medium=original&utm_campaign=biz
"KT, '갤S23 프리미엄 Y에디션' 출시…1년간 매월 5000원 쿠폰 제공",뉴시스,20240510,https://www.newsis.com/view/?id=NISX20240510_0002730011&cID=13005&pID=13100
"프로야구 잠실 KT-두산, 우천 취소…12일 더블헤더 진행",뉴스1,20240511,https://www.news1.kr/articles/5412843
"""AI 역량 강화""…KT, 직원 대상 코딩 경진대회 개최",연합뉴스,20240512,https://www.yna.co.kr/view/AKR20240512027600017?input=1195m
"KT알파, 올 1Q 영업익 87억…전년比 425.5%↑",뉴시스,20240513,https://www.newsis.com/view/?id=NISX20240513_0002733408&cID=13001&pID=13000
