제목,언론사,날짜,링크
"해군 따로, 공군 따로 놀면 최첨단 기동함대도 무용지물 된다",주간동아,20200509,https://weekly.donga.com/3/all/11/2057883/1
"코스피 200 구성종목 5월 등락률은?...1위 카카오, 최하위 CJ CGV",글로벌이코노믹,20200510,http://www.g-enews.com/ko-kr/news/article/news_all/202005101112475210edf69f862c_1/article.html
KOSPI 200 Closing Price List(마감현황)...0.65% 하락,글로벌이코노믹,20200511,http://www.g-enews.com/ko-kr/news/article/news_all/202005111609311894edf69f862c_1/article.html
"솔트웍스, -4.04% VI 발동",조선비즈,20200512,https://n.news.naver.com/article/366/0000521709?sid=004
"LIG넥스원, 1분기 영업익 268억…수주 증가에 호조",뉴시스,20200513,http://www.newsis.com/view/?id=NISX20200513_0001023298&cID=13001&pID=13000
"하이투자證 ""LIG넥스원, 내년부터 수출 성장 예상…목표가↑""",뉴시스,20200514,http://www.newsis.com/view/?id=NISX20200514_0001024192&cID=10401&pID=10400
"경남 무인선박 규제자유특구 7월 해상실증사업 ""이상무""",뉴시스,20200515,http://www.newsis.com/view/?id=NISX20200515_0001025781&cID=10812&pID=10800
"[(주간) 코스피 기관 순매수 Top 20] 삼성바이오로직스 1위 약 453억원, L...",파이낸셜포스트,20200517,http://www.fintechpost.co.kr/news/articleView.html?idxno=114046
"'LIG넥스원' 5% 이상 상승, 단기·중기 이평선 정배열로 상승세",한국경제,20200518,https://www.hankyung.com/finance/article/202005188860L
"LIG넥스원, 테러 막는 '드론 방호시스템' 실증사업 추진",뉴시스,20200519,https://n.news.naver.com/article/003/0009868674?sid=101
"LIG넥스원, 실적·수주 개선 기대…목표가↑-DB",이데일리,20200520,http://www.edaily.co.kr/news/newspath.asp?newsid=01449766625770888
"LIG넥스원, 인도네시아에 1천592억원 규모 통신시스템 공급",연합뉴스,20200521,http://yna.kr/AKR20200521046000003?did=1195m
"NH투자증권 ""LIG넥스원, 코로나19 피해 전무…주가회복 기대""",뉴시스,20200522,http://www.newsis.com/view/?id=NISX20200522_0001033250&cID=10401&pID=10400
"LIG넥스원, 수주잔고 6.35조 사상최대 경신…내년부터 매출성장",뉴스1,20200524,https://n.news.naver.com/article/421/0004654263?sid=101
"LIG넥스원, 인도네시아에 1592억원 규모 통신 시스템 공급",한경비즈니스,20200525,http://magazine.hankyung.com/business/apps/news?popup=0&nid=01&c1=1003&nkey=2020052501278000541&mode=sub_view
KOSPI 200 Closing Price List(마감현황)... 1.73% ↑,글로벌이코노믹,20200526,http://m.g-enews.com/view.php?ud=202005261649273068edf69f862c_1
"LIG넥스원, 코로나19 비켜간 방위산업 매출 본격화…목표가↑-신한",이데일리,20200527,http://www.edaily.co.kr/news/newspath.asp?newsid=01603926625773184
"LIG넥스원, +5.15% 52주 신고가",조선비즈,20200528,https://biz.chosun.com/site/data/html_dir/2020/05/28/2020052802135.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"현대차證 ""LIG넥스원, 올해 신규 수주 2조원 이상 가능""",뉴시스,20200529,http://www.newsis.com/view/?id=NISX20200529_0001041123&cID=10401&pID=10400
"[다시 보는 리포트]LIG넥스원, 조용히 강한 코로나 무풍지대",이데일리,20200530,https://n.news.naver.com/article/018/0004652240?sid=101
'코로나 무풍지대' 뛰는 LIG넥스원,파이낸셜뉴스,20200531,https://n.news.naver.com/article/014/0004434307?sid=101
"LIG넥스원, 수주액 실적 반영에 ‘활짝’",아시아경제,20200601,https://view.asiae.co.kr/article/2020060111124311502
"LIG넥스원, 함정 근접방어무기 사업 정조준",더구루,20200602,https://www.theguru.co.kr/news/article.html?no=11336
"이엠코리아, +4.31% 상승폭 확대",조선비즈,20200603,https://n.news.naver.com/article/366/0000533053?sid=004
"LIG넥스원, 호국보훈의 달 맞아 현충원 묘역정화 활동 실시",연합뉴스,20200604,https://n.news.naver.com/article/001/0011656676?sid=102
"LIG넥스원, 무인선박 규제자유특구사업 참여",뉴시스,20200605,http://www.newsis.com/view/?id=NISX20200605_0001049497&cID=13001&pID=13000
"LIG넥스원, 경남 ‘무인선박 규제자유특구’ 참여",KBS,20200606,https://n.news.naver.com/article/056/0010848066?sid=102
7兆 규모 '수주 대어' 출현에‥현대重-대우-한화-LIG '초격돌',아시아경제,20200607,https://n.news.naver.com/article/277/0004693465?sid=101
[기관 매집 동향] LIG넥스원 2.90% 매수…같은 기간 주가 42.0%↑,아이투자,20200608,http://m.itooza.com/view.php?ud=2020060808524993333
판교에 웬 굴뚝기업이?… 두산·현대重·LIG넥스원 등 혁신 찾아 사옥 이...,조선비즈,20200609,https://biz.chosun.com/site/data/html_dir/2020/06/08/2020060802739.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"한화시스템vsLIG넥스원, '한국형 이지스' 두뇌개발사업 수주 격돌",뉴스1,20200610,https://n.news.naver.com/article/421/0004686547?sid=101
[Who Is ?] 김지찬 LIG넥스원 대표이사 사장,비즈니스포스트,20200611,http://www.businesspost.co.kr/BP?command=article_view&num=182257
7조원짜리 차기구축함(KDDX) 사업이 온다…조선·방산업계 '들썩',머니투데이,20200612,https://n.news.naver.com/article/008/0004424098?sid=101
"[군사대로]코로나19가 불러온 국방기술 독립…""핵심 부품 국산화""",뉴시스,20200614,http://www.newsis.com/view/?id=NISX20200611_0001056684&cID=10301&pID=10300
"'LIG넥스원' 5% 이상 상승, 단기·중기 이평선 정배열로 상승세",한국경제,20200615,https://n.news.naver.com/article/015/0004360186?sid=101
북한 개성 남북공동연락사무소 폭파에 개성공단 기업들 '당혹'…청와대 강력 대응 시사,톱스타뉴스,20200616,http://www.topstarnews.net/news/articleView.html?idxno=806622
"LIG넥스원, 방위산업/전쟁 및 테러 테마 상승세에 5.4% ↑",아시아경제,20200617,https://n.news.naver.com/article/277/0004700064?sid=101
"자율주행 타스 스타트업 코드42, LIG넥스원 등서 150억 투자 유치",뉴시스,20200618,http://www.newsis.com/view/?id=NISX20200618_0001064051&cID=13001&pID=13000
"[마켓브리핑] LIG넥스원, 단기자금조달 재개···수십억원 금융비용 부담 여전",서울경제,20200619,https://n.news.naver.com/article/011/0003755859?sid=101
"이주의 주식시장 흐름은? 빅텍 등 방산주들 대거 관심 집중, 삼성중공업...",금강일보,20200620,http://www.ggilbo.com/news/articleView.html?idxno=777794
"10거래일만에 3배 뛴 빅텍, 방위산업 테마의 진실은",한국경제,20200621,https://www.hankyung.com/finance/article/202006210511i
"배재대·LIG넥스원, 미래 국방로봇 공동연구 협약",뉴스1,20200622,https://n.news.naver.com/article/421/0004710778?sid=102
"배재대, LIG넥스원과 국방로봇 산업 인재 양성 나서",전자신문,20200623,http://www.etnews.com/20200623000105
"[오늘Who] KB손해보험 출범 5년, 양종희 내실경영으로 방향 잡다",비즈니스포스트,20200624,http://www.businesspost.co.kr/BP?command=article_view&num=184256
[6.25전쟁 70주년] KAI·한화·LIG넥스원 등 한국 방산기업들 자주국방·수출확대 기여,아주경제,20200625,http://m.kr.ajunews.com/view/20200624154912704
LIG넥스원 준법경영 확산… 협력사에도 가이드라인,뉴데일리,20200626,http://biz.newdaily.co.kr/site/data/html/2020/06/26/2020062600049.html
[양낙규의 Defence Club]성능개량 백두정찰기 사업 지연 불가피,아시아경제,20200627,https://view.asiae.co.kr/article/2020062615145013007
"육군 특전사 주력화기 K1A, 40년만에 교체…우선협상 업체는 다산기공",톱스타뉴스,20200628,http://www.topstarnews.net/news/articleView.html?idxno=814214
"[주목! 이 스타트업①]코드42, 현대차·LG·SK 이어 방산업체까지 투자....",녹색경제신문,20200629,http://www.greened.kr/news/articleView.html?idxno=258057
"[장중수급포착] LIG넥스원, 외국인 5일 연속 순매수행진... 주가 +2.87%",뉴스핌,20200630,http://www.newspim.com/news/view/20200630000333
"[강세 토픽] 방위산업 테마, 스페코 +14.20%, 한일단조 +9.73%",조선비즈,20200701,https://biz.chosun.com/site/data/html_dir/2020/07/01/2020070102460.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"[장중수급포착] LIG넥스원, 외국인 7일 연속 순매수행진... 주가 +1.52%",뉴스핌,20200702,http://www.newspim.com/news/view/20200702000347
"LIG넥스원, 189억 규모 선급금 지급 결정",이데일리,20200703,http://www.edaily.co.kr/news/newspath.asp?newsid=03440726625830912
"기업공시[7월3일]남영비비안, 1주당 500원으로 주식병합 등",서울경제,20200704,https://www.sedaily.com/NewsView/1Z566LCIE0
"[리포트 브리핑]LIG넥스원, '아쉬운 환율, 중장기 성장은 지속' 목표가 ...",뉴스핌,20200706,http://www.newspim.com/news/view/20200706000694
"한화시스템 ""스마트 네이비 우리가 이끈다"" KDDX 두고 방산, ICT 자신감 ...",한국금융신문,20200707,http://www.fntimes.com/html/view.php?ud=20200707004936312155469ec131_18
"LIG넥스원, 협력사에 선급금 259억원 지급",이데일리,20200708,https://n.news.naver.com/article/018/0004684118?sid=101
"한화시스템vsLIG넥스원, 대함 근접요격 'CIWS-Ⅱ' 국산화 경쟁",뉴스1,20200709,https://n.news.naver.com/article/421/0004743682?sid=101
[데스크리포트] 7월 기업 동향과 전망-정유 화학 방산,비즈니스포스트,20200710,http://www.businesspost.co.kr/BP?command=article_view&num=186769
"현대로템·LIG넥스원, 방진회 상대로 보증금 청구소송 배경은",뉴스1,20200712,https://www.news1.kr/articles/?3989888
"평화산업, +5.42% 상승폭 확대",조선비즈,20200713,https://biz.chosun.com/site/data/html_dir/2020/07/13/2020071302131.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"LIG넥스원 ""이지스함 뛰어넘는 전투체계 만들 것""",한국경제,20200714,https://n.news.naver.com/article/015/0004379708?sid=101
"LIG넥스원, 정부 상대 설비부품 대금 일부승소",파이낸셜뉴스,20200715,http://www.fnnews.com/news/202007151823304000
